_input_address,_input_zpid,_input_url,_which,_fetched_at,message,source,GraphType,RecentFirst,DataPoints_city,DataPoints_state,DataPoints_streetAddress,DataPoints_zipcode,DataPoints_Current_Rent_Zestimate,_error
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,200: Success,9vrc_ws,rent_zestimate_history,True,Atlanta,GA,615 Broadview Pl NE,30324,2701.0,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,zestimate_history,2026-04-12T16:12:38.145567+00:00,200: Success,9vrc_ws,zestimate_history,True,Atlanta,GA,615 Broadview Pl NE,30324,,
"120 Ralph Mcgill Blvd NE Apt 903 # 903, Atlanta, GA, 30308",82619284,https://www.zillow.com/homedetails/82619284_zpid/,rent_zestimate_history,2026-04-12T16:12:38.666930+00:00,200: Success,9vrc_ws,rent_zestimate_history,True,Atlanta,GA,120 Ralph McGill Blvd NE APT 903,30308,1582.0,
"120 Ralph Mcgill Blvd NE Apt 903 # 903, Atlanta, GA, 30308",82619284,https://www.zillow.com/homedetails/82619284_zpid/,zestimate_history,2026-04-12T16:12:39.174041+00:00,200: Success,9vrc_ws,zestimate_history,True,Atlanta,GA,120 Ralph McGill Blvd NE APT 903,30308,,
"3371 King Springs Rd SE, Smyrna, GA, 30080",14303839,https://www.zillow.com/homedetails/14303839_zpid/,rent_zestimate_history,2026-04-12T16:12:39.725810+00:00,200: Success,9vrc_ws,rent_zestimate_history,True,Smyrna,GA,3371 King Springs Rd SE,30080,2606.0,
"3371 King Springs Rd SE, Smyrna, GA, 30080",14303839,https://www.zillow.com/homedetails/14303839_zpid/,zestimate_history,2026-04-12T16:12:40.262027+00:00,200: Success,9vrc_ws,zestimate_history,True,Smyrna,GA,3371 King Springs Rd SE,30080,,
"4471 Dandelion Ln, Atlanta, GA, 30342",2054988052,https://www.zillow.com/homedetails/2054988052_zpid/,rent_zestimate_history,2026-04-12T16:12:40.764754+00:00,200: Success,9vrc_ws,rent_zestimate_history,True,Atlanta,GA,4471 Dandelion Ln,30342,3081.0,
"4471 Dandelion Ln, Atlanta, GA, 30342",2054988052,https://www.zillow.com/homedetails/2054988052_zpid/,zestimate_history,2026-04-12T16:12:41.416988+00:00,200: Success,9vrc_ws,zestimate_history,True,Atlanta,GA,4471 Dandelion Ln,30342,,
"2183 Pansy St NW, Atlanta, GA, 30314",35857463,https://www.zillow.com/homedetails/35857463_zpid/,rent_zestimate_history,2026-04-12T16:12:41.962348+00:00,200: Success,9vrc_ws,rent_zestimate_history,True,Atlanta,GA,2183 Pansy St NW,30314,2044.0,
"2183 Pansy St NW, Atlanta, GA, 30314",35857463,https://www.zillow.com/homedetails/35857463_zpid/,zestimate_history,2026-04-12T16:12:42.490567+00:00,200: Success,9vrc_ws,zestimate_history,True,Atlanta,GA,2183 Pansy St NW,30314,,
